web-scraper-order,web-scraper-start-url,product
"1680415156-750","https://kotn.com/collections/womens","Essential Sweatshirt in Black"
"1680415156-751","https://kotn.com/collections/womens","Essential Crew in Seagrass"
"1680415156-752","https://kotn.com/collections/womens","Crew Sock in White"
"1680415156-753","https://kotn.com/collections/womens","Fitted Longsleeve in White"
"1680415156-754","https://kotn.com/collections/womens","High Neck Tank in Charcoal Melange"
"1680415156-755","https://kotn.com/collections/womens","High Neck Tank in White"
"1680415156-756","https://kotn.com/collections/womens","Unisex Essential Hoodie in Heather Grey"
"1680415156-757","https://kotn.com/collections/womens","Wide Leg Sweatpant in Heather Grey"
"1680415156-758","https://kotn.com/collections/womens","Essential Sweatpant in Heather Grey"
"1680415156-759","https://kotn.com/collections/womens","Dress Socks in Rust"
"1680415156-760","https://kotn.com/collections/womens","Dress Socks in Ochre"
"1680415156-761","https://kotn.com/collections/womens","Dress Socks in Umber"
"1680415156-762","https://kotn.com/collections/womens","Dress Socks in Light Taupe"
"1680415156-763","https://kotn.com/collections/womens","Crew Socks in Porcini"
"1680415156-764","https://kotn.com/collections/womens","Crew Socks in Straw"
"1680415156-765","https://kotn.com/collections/womens","Crew Socks in Rust"
"1680415156-766","https://kotn.com/collections/womens","Crew Socks in Racing Green"
"1680415156-767","https://kotn.com/collections/womens","Crew Socks in White/Black"
"1680415156-768","https://kotn.com/collections/womens","Cropped Reverse Racer Tank in Coriander"
"1680415156-769","https://kotn.com/collections/womens","Fine Knit Vest in Alabaster"
"1680415156-770","https://kotn.com/collections/womens","Intarsia Socks in Alabaster/Light Taupe"
"1680415156-771","https://kotn.com/collections/womens","Intarsia Socks in Multi-Colour"
